answers
bool,yes,yeah,y,Ya,yess,hm
bool,No,Nah,Nope,N,No thanks,Not now,Not today,not,naw
gender,male
indian,tirlok singh
indian,aashu
indian,hariom
indian,chran singh
indian,bhajanlal
indian,bhagwan dass
indian,bijendra kumar
indian,lalit @ golu
indian,mr. mohammad  sahed
indian,kushal sharma
indian,raseel
indian,sudhansu
indian,hazrat ali
indian,nanhe khan
indian,manish goyal
indian,chander prakash @ banta
indian,bangali babu
indian,vinay @binu
indian,shayam lal
indian,shib lal singh
indian,balram
indian,chander prakash
indian,fulmiya
indian,aadil
indian,gopi singh
indian,munesh sharma
indian,rajesh @ chotu
indian,bhupesh sharma
indian,sudhir mandal
indian,vipta
indian,ramesh upreti
indian,pankaj dhiman
indian,girish chandra
indian,vikram singh rajpoot
indian,unkar meena
indian,hari @ abhishek
indian,dheeraj meena
indian,pintu
indian,irshad
indian,mahesh pal
indian,radhey shyam
indian,mohd salman
indian,aryan shrma
indian,amarjeet singh
indian,vijay sharma
indian,birender sharma
indian,shamim
indian,mukesh aarya
indian,shibu
indian,deshraj
indian,rahish ahmad
indian,md ramjani
indian,farid khan
indian,leo paul
indian,naresh @naneha
indian,taushif
indian,omprakash
indian,jai prakash
indian,rajeev sharma
indian,love manjhi
indian,md hasan @ sahil
indian,dinesh sharma
indian,birij kisor
indian,saroj devi
indian,kunal mayank
indian,manoj@ radhe krishan
indian,anjali
indian,kalu
indian,manish kumar sharma
indian,ansu kumar
indian,anshul
indian,hararat
indian,pardeep mohauti
indian,arun joshi
indian,salmaan
indian,mohd farman
indian,ajay gupta
indian,kunal
indian,bobi khan
indian,arvind @ milla
indian,satbar
indian,rajendar singh
indian,rakesh singh
indian,manful
indian,barkat tulla
indian,mamchand
indian,ashutosh seth
indian,bikki @ parveen
indian,ram suresh
indian,lalaram
indian,robin
indian,vijay bansal
indian,mamta
indian,sarvan kumar
indian,tahir mohmaddi
indian,mukesh agarwal
indian,kavilash
indian,subhas
indian,bablu khan
indian,noor hasan
indian,suraj sahay sharma
indian,utkarsh jha
indian,banarsi das
indian,rajesh metho
indian,faijal
indian,anand singh
indian,kundan raj
indian,sonu saksena
indian,gurmeet sharma
indian,ravinder kumar
indian,dharamvir
indian,tarun
indian,naresh chauhan
indian,raj a
indian,jai kishan @ bhondu
indian,rijwan aalam
indian,haji mohmmad
indian,ajay varma
indian,sukhpal
indian,rishipal
indian,jai dahiya
indian,rajeet kumar singh
indian,rakhi
indian,mata parsad
indian,abhishek sharma
indian,pramatma pandey
indian,rakesh @sudama
indian,ram deeta mehto
indian,jhalla re
indian,sajid @ chummu
indian,shahnabaz
indian,bijender
indian,lakhvinder singh
indian,parmeshwar
indian,papp
indian,razi ahmad
indian,yashpal singh
indian,upendra kumar
indian,jasveer
indian,ramjeet thaukar
indian,abdul miya
indian,himanshu gautam
indian,waseem
indian,manash
indian,moin
indian,ajay panday
indian,ram parvesh
indian,mohd mustkeen
indian,kiran kumari
indian,amir khan
indian,vikash malik
indian,jeevan
indian,mayank
indian,dinesh chand
indian,sandeep dubey
indian,victor singlai
indian,ganga ram
indian,kailash singh
indian,sujal
indian,sher singh
indian,faisal
indian,vipin kumar
indian,ashish kumar
indian,bhudev presad
indian,santosh kumar singh
indian,sonu @ sorabh
indian,saif ali @ raza
indian,hukam singh
indian,anish
indian,noor aalam
indian,mohit bedi
indian,kundan
indian,nitin sharma
indian,sarif mohammed
indian,pukharam
indian,pramod kumar
indian,nirmal kumar
indian,dalchand
indian,yaqub ali
indian,lal prasad narala
indian,shakhtnsana singh
indian,shailesh
indian,parshu ram singh
indian,govind @ akash
indian,abhishek bajwan
indian,sudershan gopal
indian,kartik
indian,hemant sharma
indian,baljinder singh @ monu
indian,tushar saini @ vishal
indian,prabhakar
indian,prem parkash seth
indian,mehinder
indian,hariesh
indian,harender kumar
indian,devkran
indian,lalital mohan
indian,praveen @ neetu
indian,anil kumar tete
indian,manoj kumar age-25 and his son rahman age-1-1/2
indian,keshar
indian,ramdev jha
indian,panna lal @ sumit
indian,ram ratan
indian,naruram
indian,pphola
indian,ramu dubey
indian,niwas
indian,lakhami singh
indian,dinesh ravidash @ bullu
indian,jamal khan @ jimmi
indian,chetram
indian,karmveer
indian,sajruddin
indian,santosh kuumar
indian,vinay bhattia
indian,krishna bhatt
indian,sandeep goyal
indian,bharat kumar
indian,gordhan
indian,vikram
indian,senser
indian,ganesh
indian,gurjeet singh @ babbu
indian,nitin kumar
indian,rajat dahiya
indian,jaichand
indian,govinda
indian,ramchandr
indian,mobarkar
indian,anantram
indian,chhitar mal
indian,sumit raghav
indian,parshotam ram
indian,amlesh saha
indian,satyanarayan
indian,jagdish chandra
indian,bittoo
indian,rambabu
indian,prakash soni
